remnux@remnux:~/Documents/CTF/yukthiCTF$ sudo python3 /opt/volatility/vol.py -f ~/Documents/CTF/yukthiCTF/RAM.vmem windows.filescan
Volatility 3 Framework 2.5.2
WARNING  volatility3.framework.layers.vmware: No metadata file found alongside VMEM file. A VMSS or VMSN file may be required to correctly process a VMEM file. These should be placed in the same directory with the same file name, e.g. RAM.vmem and RAM.vmss.
Progress:  100.00		PDB scanning finished                        
0x1867678	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1867a68	\WINDOWS\system32\services.exe	112
0x1867d38	\WINDOWS\AppPatch\sysmain.sdb	112
0x1867e50	\WINDOWS\system32\winsta.dll	112
0x1868620	\WINDOWS\system32\sfc_os.dll	112
0x18687f0	\WINDOWS\system32\sfc.dll	112
0x1868a00	\WINDOWS\system32\shsvcs.dll	112
0x1868cf8	\WINDOWS\system32\odbcint.dll	112
0x1868f00	\WINDOWS\WindowsShell.Manifest	112
0x1869158	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9\comctl32.dll112
0x1869460	\$Directory	112
0x18694f8	\InitShutdown	112
0x1869828	\$Directory	112
0x18698c0	\WINDOWS\system32\wpa.bak	112
0x1869ab8	\WINDOWS\system32\sxs.dll	112
0x1869bc0	\WINDOWS\system32\certcli.dll	112
0x1869c58	\WINDOWS\system32\cryptsvc.dll	112
0x1869e98	\WINDOWS\system32\odbc32.dll	112
0x186a248	\WINDOWS\WinSxS\Manifests\x86_Microsoft.VC80.MFCLOC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_91481303.manifest	112
0x186a548	\$Directory	112
0x186a9c0	\WINDOWS\system32\msasn1.dll	112
0x186ad20	\WINDOWS\system32\psapi.dll	112
0x186adf8	\WINDOWS\system32\drivers\dxg.sys	112
0x186b200	\lsarpc	112
0x186be98	\$Directory	112
0x186c238	\$Directory	112
0x186c780	\$Mft	112
0x1878028	\WINDOWS\system32\user32.dll	112
0x1878108	\WINDOWS\system32\wuaucpl.cpl	112
0x1878258	\WINDOWS\system32\wuauclt.exe	112
0x18783c8	\WINDOWS\system32\perfdisk.dll	112
0x1878538	\WINDOWS\system32\perfproc.dll	112
0x1878978	\Documents and Settings\Administrator\Start Menu\Programs\Startup\desktop.ini	112
0x1878b58	\WINDOWS\WinSxS\Manifests\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700.manifest	112
0x1879090	\WINDOWS\system32\netrap.dll	112
0x18792a8	\Documents and Settings\Administrator\NTUSER.DAT	112
0x18794a0	\Documents and Settings\Administrator\ntuser.dat.LOG	112
0x1879698	\WINDOWS\system32\ipnathlp.dll	112
0x1879890	\WINDOWS\system32\mstlsapi.dll	112
0x1879b20	\WINDOWS\system32\icaapi.dll	112
0x1879d38	\WINDOWS\system32\termsrv.dll	112
0x1879e50	\WINDOWS\system32\setupapi.dll	112
0x187a168	\WINDOWS\system32\w32time.dll	112
0x187a3d8	\WINDOWS\Fonts\micross.ttf	112
0x187a638	\WINDOWS\system32\logonui.exe.manifest	112
0x187a830	\WINDOWS\system32\logonui.exe	112
0x187a970	\WINDOWS\system32\drivers\disdn	112
0x187aa08	\Program Files\NetMeeting	112
0x187af90	\WINDOWS\system32\dnsrslvr.dll	112
0x187b5b0	\WINDOWS\system32\alg.exe	112
0x187beb0	\WINDOWS\system32\config\software.LOG	112
0x187c2d0	\WINDOWS\system32\comdlg32.dll	112
0x187c478	\Documents and Settings\Administrator	112
0x187c968	\WINDOWS\system32\ntdll.dll	112
0x187cbf0	\WINDOWS\system32\userinit.exe	112
0x187cdc0	\WINDOWS\system32\olecli32.dll	112
0x187d198	\$Directory	112
0x187d610	\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat	112
0x187d770	\$Directory	112
0x187d938	\$Directory	112
0x187da68	\WINDOWS\system32\rpcrt4.dll	112
0x187db00	\$Directory	112
0x187ece8	\$BitMap	112
0x187edb8	\$Directory	112
0x18876b8	\Endpoint	112
0x18884b8	\net\NtControlPipe10	112
0x1888a88	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18892e0	\WINDOWS\system32	112
0x1889378	\net\NtControlPipe10	112
0x188b720	\Endpoint	112
0x188b800	\$Directory	112
0x188bd80	\$Extend\$ObjId	112
0x188c028	\trkwks	112
0x188c170	\WINDOWS\system32\spoolss.dll	112
0x188c370	\trkwks	112
0x188c6f8	\Endpoint	112
0x18c3c40	\WINDOWS\system32\sens.dll	112
0x18c43d0	\scerpc	112
0x18c4e98	\$Directory	112
0x18c5d80	\atsvc	112
0x18c5ef8	\winreg	112
0x18c5f90	\winreg	112
0x18c6328	\WINDOWS\system32\mui\0405	112
0x18c64b8	\DAV RPC SERVICE	112
0x18c7220	\WINDOWS\system32\desk.cpl	112
0x18c7560	\WINDOWS\ime\shared	112
0x18c75f8	\WINDOWS\ime\imkr6_1	112
0x18c84e8	\net\NtControlPipe6	112
0x18c85e0	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18c9ab0	\lsarpc	112
0x18c9d80	\WINDOWS\system32	112
0x18ca5f0	\WINDOWS\SchedLgU.Txt	112
0x18ca8e0	\Documents and Settings\All Users\Start Menu\desktop.ini	112
0x18cb258	\WINDOWS\system32\mui\041e	112
0x18cb318	\WINDOWS\system32\mui\041a	112
0x18cb540	\WINDOWS\WindowsUpdate.log	112
0x18ce028	\Topology	112
0x18ce128	\WINDOWS\system.ini	112
0x18cfb30	\WINDOWS\system32\tourstart.exe	112
0x18cff90	\$Directory	112
0x18d0220	\WINDOWS\system32\drivers\fips.sys	112
0x18d0330	\WINDOWS\WinSxS\Policies\x86_policy.1.0.Microsoft.Windows.GdiPlus_6595b64144ccf1df_x-ww_4e8510ac\1.0.2600.2180.Policy	112
0x18d0d00	\WINDOWS\system32	112
0x18d1028	\WINDOWS\WinSxS	112
0x18d1530	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18d1948	\$Directory	112
0x18d2488	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18d2520	\Documents and Settings\Administrator\Recent\Desktop.ini	112
0x18d29d8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18d3410	\Program Files\Common Files\System\msadc	112
0x18d36a8	\WINDOWS\system32\localspl.dll	112
0x18d3f90	\Program Files\microsoft frontpage\version3.0\bin	112
0x18d4ed0	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18d54b0	\lsass	112
0x18d55b8	\WINDOWS\system32\upnp.dll	112
0x18d5888	\WINDOWS\system32\Com	112
0x18d5f90	\WINDOWS\pchealth\helpctr\binaries	112
0x18d6658	\Program Files\Common Files\Microsoft Shared\Triedit	112
0x18d6740	\WINDOWS\ime\imjp8_1	112
0x18d6ad0	\WINDOWS\system32\1033	112
0x18d6b68	\Program Files\Common Files\System	112
0x18d75a8	\WINDOWS\system32\IME\CINTLGNT	112
0x18d7d68	\WINDOWS\system32\IME\PINTLGNT	112
0x18d82c0	\WINDOWS\Media\Windows XP Balloon.wav	112
0x18d83c0	\WINDOWS\system32\browseui.dll	112
0x18d9028	\WINDOWS\system32\userinit.exe	112
0x18d9580	\WINDOWS\mui	112
0x18d99d0	\Program Files\Common Files\MSSoap\Binaries\Resources\1033	112
0x18d9df8	\Program Files\Common Files\MSSoap\Binaries	112
0x18da448	\Program Files\Common Files\SpeechEngines\Microsoft	112
0x18da618	\lsass	112
0x18da6b0	\WINDOWS\WindowsUpdate.log	112
0x18da748	\WINDOWS\WindowsUpdate.log	112
0x18da888	\WINDOWS\system32\spool\drivers\color	112
0x18dac68	\WINDOWS\PeerNet	112
0x18dad00	\Program Files\Common Files\Microsoft Shared\Speech\1033	112
0x18db368	\$Directory	112
0x18db4b8	\Documents and Settings\All Users\Start Menu\Programs\Accessories\desktop.ini	112
0x18db8e0	\WINDOWS\WinSxS\x86_Microsoft.VC80.MFCLOC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_91481303\mfc80ENU.dll	112
0x18dcac8	\Documents and Settings\Administrator\Start Menu	112
0x18deef8	\Documents and Settings\All Users\Desktop	112
0x18def90	\Documents and Settings\Administrator\Desktop	112
0x18e0d60	\WINDOWS\pchealth\helpctr\BATCH	112
0x18e0e58	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x18e1930	\$Directory	112
0x18e1c98	\$Directory	112
0x18e47d0	\WINDOWS\WinSxS\Policies\x86_policy.8.0.Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_x-ww_77c24773\8.0.50727.762.policy112
0x18e49b0	\net\NtControlPipe9	112
0x18e6200	\WINDOWS\Tasks	112
0x18e66d0	\epmapper	112
0x18e67b8	\epmapper	112
0x18e86e8	\net\NtControlPipe5	112
0x18e8db8	\Documents and Settings\Administrator	112
0x18e8e50	\WINDOWS\system32\config\system.LOG	112
0x18e9740	\WINDOWS\system32\Restore\rstrui.exe	112
0x18ea788	\WINDOWS\Help	112
0x18ff130	\WINDOWS\system32\winscard.dll	112
0x18ff7e0	\WINDOWS\system32\sxs.dll	112
0x19012f0	\WINDOWS\system32\comres.dll	112
0x1901668	\WINDOWS\AppPatch\AcGenral.dll	112
0x1901a90	\WINDOWS\system32\winmm.dll	112
0x1901eb8	\WINDOWS\system32\uxtheme.dll	112
0x1902130	\WINDOWS\system32\scecli.dll	112
0x1902800	\WINDOWS\system32\lsasrv.dll	112
0x19033e0	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1903c40	\WINDOWS\WindowsUpdate.log	112
0x1903cd8	\WINDOWS\WindowsUpdate.log	112
0x1903d70	\WINDOWS\WindowsUpdate.log	112
0x1903e08	\WINDOWS\WindowsUpdate.log	112
0x19045e0	\WINDOWS\system32\msvcrt.dll	112
0x1904680	\WINDOWS\system32\spool\prtprocs\w32x86\TPWinPrn.dll	112
0x1904728	\$Directory	112
0x1905028	\WINDOWS\system32\mstsc.exe	112
0x1906160	\WINDOWS\system32\rastls.dll	112
0x19062b0	\WINDOWS\system32\rpcss.dll	112
0x19064b8	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\Unity Filters\microsoftoffice2003.txt	112
0x1906740	\WINDOWS\system32\ipsecsvc.dll	112
0x1906c28	\WINDOWS\system32\netman.dll	112
0x1906e58	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\Unity Filters\vistasidebar.txt	112
0x19071e8	\WINDOWS\system32\ws2_32.dll	112
0x19072e8	\WINDOWS\system32\winrnr.dll	112
0x1907410	\WINDOWS\system32\rasapi32.dll	112
0x1907eb8	\WINDOWS\system32\rtutils.dll	112
0x1908718	\Program Files\Common Files\System\ado	112
0x1908ca8	\WINDOWS\system32\win32spl.dll	112
0x1909028	\WINDOWS\system32\spoolsv.exe	112
0x1909220	\$Directory	112
0x19092b8	\Documents and Settings\LocalService\Local Settings\Temporary Internet Files\Content.IE5\index.dat	112
0x19094d0	\WINDOWS\system32\webclnt.dll	112
0x19099f8	\WINDOWS\system32\wkssvc.dll	112
0x1909bc8	\WINDOWS\system32\audiosrv.dll	112
0x1909e18	\WINDOWS\system32\msidle.dll	112
0x190a558	\WINDOWS\system32\snmpapi.dll	112
0x190aa78	\$Directory	112
0x190ab60	\WINDOWS\system32\ntvdm.exe	112
0x190b8a8	\WINDOWS\system32\wow32.dll	112
0x190bb68	\WINDOWS\system32\wininet.dll	112
0x191f378	\W32TIME	112
0x191f570	\WINDOWS\system32\icmp.dll	112
0x191f938	\WINDOWS\system32\trkwks.dll	112
0x191fb88	\WINDOWS\system32\powrprof.dll	112
0x191fda8	\WINDOWS\system32\srsvc.dll	112
0x19200e0	\Program Files\VMware\VMware Tools\VMwareService.exe	112
0x1920480	\WINDOWS\system32\seclogon.dll	112
0x1920698	\WINDOWS\system32\regsvc.dll	112
0x19208c0	\WINDOWS\system32\psbase.dll	112
0x1920f28	\WINDOWS\system32\pstorsvc.dll	112
0x19211b0	\WINDOWS\system32\wzcsapi.dll	112
0x19213d0	\WINDOWS\system32\credui.dll	112
0x1921620	\WINDOWS\system32\netshell.dll	112
0x1921938	\WINDOWS\system32\netman.dll	112
0x1921bd8	\WINDOWS\system32\winipsec.dll	112
0x1921e00	\WINDOWS\system32\oakley.dll	112
0x1921f90	\WINDOWS\system32\ipsecsvc.dll	112
0x1922248	\WINDOWS\system32\netmsg.dll	112
0x1922458	\WINDOWS\system32\srvsvc.dll	112
0x1922760	\$Directory	112
0x19227f8	\WINDOWS\pchealth\helpctr\binaries\pchsvc.dll	112
0x19229c8	\WINDOWS\system32\stdole2.tlb	112
0x1922b48	\WINDOWS\system32\riched20.dll	112
0x1922d88	\WINDOWS\system32\ersvc.dll	112
0x1922f90	\WINDOWS\system32\dmserver.dll	112
0x19230d8	\WINDOWS\system32\msacm32.dll	112
0x1923310	\WINDOWS\system32\winmm.dll	112
0x19234e0	\WINDOWS\AppPatch\AcGenral.dll	112
0x19237b0	\WINDOWS\system32\shimeng.dll	112
0x1923980	\WINDOWS\system32\msvcp60.dll	112
0x1923c18	\WINDOWS\system32\ncobjapi.dll	112
0x1923e50	\WINDOWS\system32\umpnpmgr.dll	112
0x19244f8	\$Directory	112
0x1924618	\Documents and Settings\Administrator\NetHood	112
0x1924ce8	\Program Files\VMware\VMware Tools	112
0x1925028	\WINDOWS\system32\basesrv.dll	112
0x1925a58	\WINDOWS\system32\drivers\vmmouse.sys	112
0x1925f40	\WINDOWS\bootstat.dat	112
0x1926450	\$Directory	112
0x1926738	\$Directory	112
0x19267d0	\WINDOWS\Prefetch\NTOSBOOT-B00DFAAD.pf	112
0x1926c98	\$Directory	112
0x1926dd0	\$Directory	112
0x194c488	\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER	112
0x194cf10	\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER	112
0x194fb90	\WINDOWS\WinSxS\Manifests\x86_Microsoft.VC80.MFC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_3bf8fa05.manifest	112
0x19503a8	\WINDOWS\system32\wbem\Repository\FS\INDEX.BTR	112
0x1950440	\WINDOWS\system32\wbem\Repository\FS\OBJECTS.MAP	112
0x19504d8	\WINDOWS\system32\wbem\Repository\FS\INDEX.MAP	112
0x1950570	\WINDOWS\system32\wbem\Repository\FS\MAPPING.VER	112
0x1950608	\WINDOWS\system32\wbem\Repository\FS\MAPPING2.MAP	112
0x19508b8	\$Directory	112
0x1950f50	\Endpoint	112
0x1952b90	\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER	112
0x1953e18	\255	112
0x1953eb0	\Endpoint	112
0x1955318	\System Volume Information\_restore{66A0E9AC-16B8-4856-BDB9-D5ECB76B5649}\drivetable.txt	112
0x1955958	\System Volume Information\_restore{66A0E9AC-16B8-4856-BDB9-D5ECB76B5649}\RP7\rp.log	112
0x19719f8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1971be0	\Documents and Settings\Administrator\Start Menu	112
0x1971f50	\WINDOWS\system32\rcbdyctl.dll	112
0x1973918	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1975028	\WINDOWS\system32\mui\040b	112
0x1975138	\WINDOWS\system32\mui\040C	112
0x1976028	\WINDOWS\system32\wbem\xml	112
0x1976318	\$Directory	112
0x1976f90	\net\NtControlPipe4	112
0x1977028	\Endpoint	112
0x1977340	\Documents and Settings\Administrator\Desktop\5e0744bf15f0c5cf7f92bed2bbc73be6f42e88e1048413f51f5ff0e9fabd4f7f.exe	112
0x19782e0	\Endpoint	112
0x19792a8	\WINDOWS\AppPatch	112
0x1979df8	\Program Files\Common Files\Microsoft Shared\web server extensions\40\isapi\_vti_adm	112
0x197c028	\WINDOWS\system32	112
0x197e550	\net\NtControlPipe0	112
0x197e5e8	\net\NtControlPipe5	112
0x197f9d8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1980128	\WINDOWS\system32\snmpapi.dll	112
0x1981b68	\Program Files\Common Files\Microsoft Shared\web server extensions\40\bots\vinavbar	112
0x1981f90	\Program Files\Common Files\Microsoft Shared\web server extensions\40\servsupp	112
0x1982d50	\Documents and Settings\All Users\Application Data\VMware\Compatibility\native\boot.ini	112
0x1982df8	\$Directory	112
0x19830b8	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700	112
0x1983648	\WINDOWS\SoftwareDistribution\DataStore\DataStore.edb	112
0x1984028	\WINDOWS\system32\stobject.dll	112
0x19849a8	\WINDOWS\system32\Setup	112
0x1984d68	\Program Files\Windows NT	112
0x19857f0	\Program Files\Common Files\Microsoft Shared\web server extensions\40\bin\1033	112
0x1985888	\Program Files\Common Files\Microsoft Shared\web server extensions\40\_vti_bin	112
0x1985c58	\WINDOWS\system32\wbem	112
0x1986870	\Documents and Settings\Administrator	112
0x1986ad0	\Documents and Settings\Administrator\PrintHood	112
0x1987648	\WINDOWS\system32\xircom	112
0x19879d8	\Program Files\Common Files\Microsoft Shared\MSInfo	112
0x1987a70	\Program Files\Internet Explorer\Connection Wizard	112
0x1988648	\WINDOWS\Resources\Themes\Luna\Shell\Homestead	112
0x19889b0	\WINDOWS\system32\wbem\snmp	112
0x1988a70	\WINDOWS\Resources\Themes\Luna\Shell\Metallic	112
0x1989190	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\manifest.txt	112
0x19898c8	\PROGRA~1\MOVIEM~1\WMM2RES.dll	112
0x1989960	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700	112
0x1989d00	\WINDOWS\system32\config\SecEvent.Evt	112
0x198a2c8	\lsass	112
0x198a360	\Documents and Settings\All Users\Start Menu\Programs\Games\desktop.ini	112
0x198bf90	\WINDOWS\WinSxS\Policies\x86_policy.6.0.Microsoft.Windows.Common-Controls_6595b64144ccf1df_x-ww_5ddad775\6.0.2600.2180.Policy	112
0x198c180	\WINDOWS\system32\desk.cpl	112
0x198c300	\$Directory	112
0x198cf90	\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\CD Burning	112
0x198f808	\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG	112
0x1990028	\WINDOWS\system32\dpcdll.dll	112
0x1990b08	\$Directory	112
0x1992298	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1992750	\net\NtControlPipe8	112
0x1992b28	\WINDOWS\system32	112
0x1993a68	\net\NtControlPipe8	112
0x1994120	\$Directory	112
0x19942a8	\lsass	112
0x1995150	\Documents and Settings\Administrator\Local Settings\History\History.IE5\index.dat	112
0x1995348	\SfcApi	112
0x19959d8	\WINDOWS\Debug\UserMode\userenv.log	112
0x1996c38	\keysvc	112
0x1998d78	\WINDOWS\system32\cmd.exe	112
0x19a21d0	\WINDOWS\system32\schedsvc.dll	112
0x19a28f8	\WINDOWS\system32\odbcint.dll	112
0x19a3c08	\WINDOWS\system32\shfolder.dll	112
0x19a42f8	\WINDOWS\SoftwareDistribution\DataStore\Logs\tmp.edb	112
0x19a45c0	\WINDOWS\SoftwareDistribution\DataStore\Logs\edb.log	112
0x19a4a90	\WINDOWS\system32\kerberos.dll	112
0x19a4eb8	\WINDOWS\system32\msprivs.dll	112
0x19a53e8	\WINDOWS\system32\dnsrslvr.dll	112
0x19a54b0	\WINDOWS\WindowsUpdate.log	112
0x19a6740	\WINDOWS\system32\shlwapi.dll	112
0x19a7028	\WINDOWS\system32\spider.exe	112
0x19a8828	\WINDOWS\system32\winlogon.exe	112
0x19a8be0	\WINDOWS\system32\clbcatq.dll	112
0x19aa708	\WINDOWS\system32\winipsec.dll	112
0x19aa878	\WINDOWS\system32\oakley.dll	112
0x19aada8	\WINDOWS\system32\profmap.dll	112
0x19ab738	\WINDOWS\system32\webclnt.dll	112
0x19ac1c0	\WINDOWS\system32\certcli.dll	112
0x19ac3e8	\WINDOWS\system32\cryptsvc.dll	112
0x19ac648	\Program Files\VMware\VMware Tools\Drivers\memctl\vmmemctl.sys	112
0x19aca28	\WINDOWS\system32\wsock32.dll	112
0x19acc48	\Documents and Settings\LocalService\Local Settings\History\History.IE5\index.dat	112
0x19ace58	\Documents and Settings\LocalService\Cookies\index.dat	112
0x19ad028	\WINDOWS\system32\url.dll	112
0x19ad578	\WINDOWS\system32\mpr.dll	112
0x19ae518	\pagefile.sys	112
0x19ae698	\WINDOWS\system32\apphelp.dll	112
0x19af338	\$Directory	112
0x19afd70	\scerpc	112
0x19aff90	\$Directory	112
0x19e8198	\WINDOWS\system32\audiosrv.dll	112
0x19e8270	\WINDOWS\system32\netcfgx.dll	112
0x19e83d8	\WINDOWS\system32\mprapi.dll	112
0x19e8618	\WINDOWS\system32\wbem\wbemcons.dll	112
0x19e87e8	\WINDOWS\system32\alg.exe	112
0x19e8a38	\WINDOWS\system32\wbem\ncprov.dll	112
0x19e8c88	\WINDOWS\system32\wuapi.dll	112
0x19e9028	\WINDOWS\system32\winrnr.dll	112
0x19e9230	\winlogonrpc	112
0x19e9428	\net\NtControlPipe7	112
0x19e95f8	\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat	112
0x19e9768	\WINDOWS\system32\rasman.dll	112
0x19e99a8	\WINDOWS\system32\dhcpcsvc.dll	112
0x19e9e58	\WINDOWS\system32\rasadhlp.dll	112
0x19ea028	\WINDOWS\system32\winlogon.exe	112
0x19ea188	\WINDOWS\system32\authz.dll	112
0x19ead00	\WINDOWS\system32\drivers\dxg.sys	112
0x19eae58	\Documents and Settings\Administrator\My Documents\My Pictures\Desktop.ini	112
0x19eaf90	\WINDOWS\system32\upnp.dll	112
0x19ebd38	\WINDOWS\system32\drivers\vmdebug.sys	112
0x19ebf90	\WINDOWS\system32\drivers\vmhgfs.sys	112
0x19ece18	\WINDOWS\WinSxS\x86_Microsoft.VC80.MFC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_3bf8fa05	112
0x19ecf20	\lsass	112
0x1a01158	\WINDOWS\system32\svchost.exe	112
0x1a048e8	\WINDOWS\system32\msidle.dll	112
0x1a04a38	\WINDOWS\system32\spoolsv.exe	112
0x1a062c0	\WINDOWS\system32\wbem\wmisvc.dll	112
0x1a06538	\WINDOWS\system32\advpack.dll	112
0x1a06718	\WINDOWS\system32\wuaueng.dll	112
0x1a06990	\WINDOWS\system32\wuauserv.dll	112
0x1a06a28	\WINDOWS\system32\vssapi.dll	112
0x1a07430	\Documents and Settings\Administrator\Start Menu\Programs\Accessories\Accessibility\desktop.ini	112
0x1a07788	\Endpoint	112
0x1a07b68	\WINDOWS\system32\netshell.dll	112
0x1a07ed8	\WINDOWS\system32\cmd.exe	112
0x1a09028	\WINDOWS\system32\colbact.dll	112
0x1a091f8	\WINDOWS\system32\msxml3r.dll	112
0x1a093f0	\WINDOWS\system32\msxml3.dll	112
0x1a09668	\WINDOWS\system32\mui\0419	112
0x1a09750	\WINDOWS\system32\wbem\wbemcons.dll	112
0x1a09a28	\WINDOWS\Fonts\arialbi.ttf	112
0x1a09c20	\WINDOWS\system32\resutils.dll	112
0x1a09e40	\WINDOWS\system32\clusapi.dll	112
0x1a0a178	\WINDOWS\system32\tapi32.dll	112
0x1a0a3a0	\WINDOWS\system32\wshtcpip.dll	112
0x1a0a5c8	\WINDOWS\system32\hnetcfg.dll	112
0x1a0a948	\WINDOWS\system32\mswsock.dll	112
0x1a0abf0	\WINDOWS\pchealth\UploadLB\Binaries	112
0x1a0ade8	\Program Files\Common Files\Microsoft Shared\VGX	112
0x1a0af90	\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat	112
0x1a0b780	\WINDOWS\system32\vmx_fb.dll	112
0x1a0bd90	\WINDOWS\system32\sorttbls.nls	112
0x1a0bf90	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a0c098	\WINDOWS\system32\regapi.dll	112
0x1a0c2d0	\WINDOWS\system32\psapi.dll	112
0x1a0c4f8	\WINDOWS\system32\config\SAM.LOG	112
0x1a0c730	\WINDOWS\system32\config\SAM	112
0x1a0c860	\WINDOWS\system32\urlmon.dll	112
0x1a0ce00	\WINDOWS\system32\wldap32.dll	112
0x1a0da48	\Documents and Settings\All Users\Start Menu\Programs\desktop.ini	112
0x1a0dcb0	\$Directory	112
0x1a0dee0	\WINDOWS\system32\cscui.dll	112
0x1a0df90	\WINDOWS\system32\winsrv.dll	112
0x1a18850	\WINDOWS\system32	112
0x1a19c08	\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Networking.RtcDll_6595b64144ccf1df_5.2.2.3_x-ww_d6bd8b95.Manifest	112
0x1a19e98	\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Networking.RtcRes_6595b64144ccf1df_5.2.2.3_en_16a24bc0.Manifest112
0x1a1a7c0	\WINDOWS\WinSxS\x86_Microsoft.VC80.MFCLOC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_91481303	112
0x1a1acb0	\net\NtControlPipe1	112
0x1a1ae08	\WINDOWS\system32\sc.exe	112
0x1a1bf90	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a1c028	\net\NtControlPipe7	112
0x1a1c2c8	\WINDOWS\system32\mui\0418	112
0x1a1c4c0	\Documents and Settings\All Users\Start Menu\Programs\Administrative Tools\desktop.ini	112
0x1a1ccd8	\$Directory	112
0x1a1eb98	\WINDOWS\system32\Microsoft\Protect\S-1-5-18\User\71ee0f19-95c0-464b-9f17-7b10303eb200	112
0x1a1fb58	\Program Files\VMware\VMware Tools\VMwareTray.exe	112
0x1a20df8	\	112
0x1a21d70	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\Unity Filters\adobephotoshopcs3.txt	112
0x1a22028	\WINDOWS\system32\mui\0415	112
0x1a22110	\WINDOWS\system32\mui\0416	112
0x1a22328	\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.SystemCompatible_6595b64144ccf1df_5.1.2600.2000_x-ww_bcc9a281.Manifest	112
0x1a22ce0	\WINDOWS\system32\xpsp1res.dll	112
0x1a23028	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\Unity Filters\adobeflashcs3.txt	112
0x1a26748	\WINDOWS\system32\mui\0407	112
0x1a267e0	\WINDOWS\system32\mui\0406	112
0x1a273c8	\$Directory	112
0x1a274a0	\Documents and Settings\All Users\Documents\desktop.ini	112
0x1a27f90	\$Directory	112
0x1a28f90	\$Directory	112
0x1a296b8	\$Directory	112
